name,parent name,uri,parent uri,description,level,source,subtitle,display,White,Mixed,Asian,Black,Other,National
Access to social housing,Housing_t3,/housingandlivingstandards/housing/1/accesstosocialhousing,/housingandlivingstandards/housing/1,Access to social housing,T4,,,,,,,,,
Evictions from social housing in England,Housing_t3,/housingandlivingstandards/housing/1/evictionsfromsocialhousinginengland,/housingandlivingstandards/housing/1,Evictions from social housing in England,T4,,,,,,,,,
Spend on mortgage payments and rent,Housing_t3,/housingandlivingstandards/housing/1/spendonmortgagepaymentsandrent,/housingandlivingstandards/housing/1,Spend on mortgage payments and rent,T4,,,,,,,,,
Privately rented households in England,Housing_t3,/housingandlivingstandards/housing/1/privatelyrentedhouseholdsinengland,/housingandlivingstandards/housing/1,Privately rented households in England,T4,,,,,,,,,
Homelessness in England,Housing_t3,/housingandlivingstandards/housing/1/homelessnessinengland,/housingandlivingstandards/housing/1,Homelessness in England,T4,,,,,,,,,
Households with serious health and safety issues in England,Living standards_t3,/housingandlivingstandards/livingstandards/1/householdswithserioushealthandsafetyissuesinengland,/housingandlivingstandards/livingstandards/1,Households with serious health and safety issues in England,T4,,,,,,,,,
Households with overcrowding issues in England,Living standards_t3,/housingandlivingstandards/livingstandards/1/householdswithovercrowdingissuesinengland,/housingandlivingstandards/livingstandards/1,Households with overcrowding issues in England,T4,,,,,,,,,
Underoccupied households in England,Living standards_t3,/housingandlivingstandards/livingstandards/1/underoccupiedhouseholdsinengland,/housingandlivingstandards/livingstandards/1,Underoccupied households in England,T4,,,,,,,,,
Journey times and distances to key locations by public and private transport,Living standards_t3,/housingandlivingstandards/livingstandards/1/journeytimesanddistancestokeylocationsbypublicandprivatetransport,/housingandlivingstandards/livingstandards/1,Journey times and distances to key locations by public and private transport,T4,,,,,,,,,
Employment in the UK,Employment_t3,/work/employment/1/employmentintheuk,/work/employment/1,Employment in the UK,T4,,,,,,,,,
Unemployment in the UK,Employment_t3,/work/employment/1/unemploymentintheuk,/work/employment/1,Unemployment in the UK,T4,,,,,,,,,
Inactivity: people who are not in work and do not count as unemployed,Employment_t3,/work/employment/1/inactivitypeoplewhoarenotinworkanddonotcountasunemployed,/work/employment/1,Inactivity: people who are not in work and do not count as unemployed,T4,,,,,,,,,
How long people are unemployed for,Employment_t3,/work/employment/1/howlongpeopleareunemployedfor,/work/employment/1,How long people are unemployed for,T4,,,,,,,,,
How long people are inactive for,Employment_t3,/work/employment/1/howlongpeopleareinactivefor,/work/employment/1,How long people are inactive for,T4,,,,,,,,,
People claiming Jobseeker's Allowance,Benefits_t3,/work/benefits/1/peopleclaimingjobseekersallowance,/work/benefits/1,People claiming Jobseeker's Allowance,T4,,,,,,,,,
People claiming Employment and Support Allowance,Benefits_t3,/work/benefits/1/peopleclaimingemploymentandsupportallowance,/work/benefits/1,People claiming Employment and Support Allowance,T4,,,,,,,,,
Jobseeker's Allowance sanctions,Benefits_t3,/work/benefits/1/jobseekersallowancesanctions,/work/benefits/1,Jobseeker's Allowance sanctions,T4,,,,,,,,,
Employment and Support Allowance sanctions,Benefits_t3,/work/benefits/1/employmentandsupportallowancesanctions,/work/benefits/1,Employment and Support Allowance sanctions,T4,,,,,,,,,
Child maintenance benefit claims,Benefits_t3,/work/benefits/1/childmaintenancebenefitclaims,/work/benefits/1,Child maintenance benefit claims,T4,,,,,,,,,
How long people claim Jobseeker's Allowance,Benefits_t3,/work/benefits/1/howlongpeopleclaimjobseekersallowance,/work/benefits/1,How long people claim Jobseeker's Allowance,T4,,,,,,,,,
People committing benefit fraud,Benefits_t3,/work/benefits/1/peoplecommittingbenefitfraud,/work/benefits/1,People committing benefit fraud,T4,,,,,,,,,
Do some areas have higher benefits/ UC claims than others?,Benefits_t3,/work/benefits/1/dosomeareashavehigherbenefitsucclaimsthanothers,/work/benefits/1,Do some areas have higher benefits/ UC claims than others?,T4,,,,,,,,,
Which areas have the highest on-flow/ off-flow benefits rates per relevant group?,Benefits_t3,/work/benefits/1/whichareashavethehighestonflowoffflowbenefitsratesperrelevantgroup,/work/benefits/1,Which areas have the highest on-flow/ off-flow benefits rates per relevant group?,T4,,,,,,,,,
Customer satisfaction with DWP frontline services,Benefits_t3,/work/benefits/1/customersatisfactionwithdwpfrontlineservices,/work/benefits/1,Customer satisfaction with DWP frontline services,T4,,,,,,,,,
Discrimination in the workplace,Workplace discrimination_t3,/work/workplacediscrimination/1/discriminationintheworkplace,/work/workplacediscrimination/1,Discrimination in the workplace,T4,,,,,,,,,
Employment tribunal outcomes,Workplace discrimination_t3,/work/workplacediscrimination/1/employmenttribunaloutcomes,/work/workplacediscrimination/1,Employment tribunal outcomes,T4,,,,,,,,,
"Entrepreneurs, startups and small business owners",Professions and businesses_t3,/work/professionsandbusinesses/1/entrepreneursstartupsandsmallbusinessowners,/work/professionsandbusinesses/1,"Entrepreneurs, startups and small business owners",T4,,,,,,,,,
Access to start-up loans,Professions and businesses_t3,/work/professionsandbusinesses/1/accesstostartuploans,/work/professionsandbusinesses/1,Access to start-up loans,T4,,,,,,,,,
"Company directors, board members, FTSE CEO and other high-ranking jobs",Professions and businesses_t3,/work/professionsandbusinesses/1/companydirectorsboardmembersftseceoandotherhighrankingjobs,/work/professionsandbusinesses/1,"Company directors, board members, FTSE CEO and other high-ranking jobs",T4,,,,,,,,,
Private savings and assets,Savings and pensions_t3,/work/savingsandpensions/1/privatesavingsandassets,/work/savingsandpensions/1,Private savings and assets,T4,,,,,,,,,
People who invest in a private pension,Savings and pensions_t3,/work/savingsandpensions/1/peoplewhoinvestinaprivatepension,/work/savingsandpensions/1,People who invest in a private pension,T4,,,,,,,,,
People claiming a state pension,Savings and pensions_t3,/work/savingsandpensions/1/peopleclaimingastatepension,/work/savingsandpensions/1,People claiming a state pension,T4,,,,,,,,,
Amount of pension income,Savings and pensions_t3,/work/savingsandpensions/1/amountofpensionincome,/work/savingsandpensions/1,Amount of pension income,T4,,,,,,,,,
Public sector workforce and representatives,Public sector workforce and representatives_t3,/work/publicsectorworkforceandrepresentatives/1/,/work/publicsectorworkforceandrepresentatives/1,Public sector workforce and representatives,T4,,,,,,,,,
Internet usage and access,Internet_t3,/privatelifeandcommunity/internet/1/internetusageandaccess,/privatelifeandcommunity/internet/1,Internet usage and access,T4,,,,,,,,,
People engaging with arts and culture,Arts_t3,/privatelifeandcommunity/arts/1/peopleengagingwithartsandculture,/privatelifeandcommunity/arts/1,People engaging with arts and culture,T4,,,,,,,,,
Museum and gallery visitor numbers,Museums/Galleries_t3,/privatelifeandcommunity/museumsgalleries/1/museumandgalleryvisitornumbers,/privatelifeandcommunity/museumsgalleries/1,Museum and gallery visitor numbers,T4,,,,,,,,,
Heritage site visitor numbers,Heritage_t3,/privatelifeandcommunity/heritage/1/heritagesitevisitornumbers,/privatelifeandcommunity/heritage/1,Heritage site visitor numbers,T4,,,,,,,,,
Public service library users,Library_t3,/privatelifeandcommunity/library/1/publicservicelibraryusers,/privatelifeandcommunity/library/1,Public service library users,T4,,,,,,,,,
How well people feel Public Service Broadcasting programmes show different cultures within the UK,Media_t3,/privatelifeandcommunity/media/1/howwellpeoplefeelpublicservicebroadcastingprogrammesshowdifferentcultureswithintheuk,/privatelifeandcommunity/media/1,How well people feel Public Service Broadcasting programmes show different cultures within the UK,T4,,,,,,,,,
Satisfaction with Public Service Broadcasting value for money,Media_t3,/privatelifeandcommunity/media/1/satisfactionwithpublicservicebroadcastingvalueformoney,/privatelifeandcommunity/media/1,Satisfaction with Public Service Broadcasting value for money,T4,,,,,,,,,
How much people feel they belong to their neighbourhood,Belonging_t3,/privatelifeandcommunity/belonging/1/howmuchpeoplefeeltheybelongtotheirneighbourhood,/privatelifeandcommunity/belonging/1,How much people feel they belong to their neighbourhood,T4,,,,,,,,,
How strongly people feel they belong to Britain,Belonging_t3,/privatelifeandcommunity/belonging/1/howstronglypeoplefeeltheybelongtobritain,/privatelifeandcommunity/belonging/1,How strongly people feel they belong to Britain,T4,,,,,,,,,
How well people from different backgrounds get on together,Integration_t3,/privatelifeandcommunity/integration/1/howwellpeoplefromdifferentbackgroundsgetontogether,/privatelifeandcommunity/integration/1,How well people from different backgrounds get on together,T4,,,,,,,,,
How much influence people feel they have on decisions affecting their local area,Influencing decisions_t3,/privatelifeandcommunity/influencingdecisions/1/howmuchinfluencepeoplefeeltheyhaveondecisionsaffectingtheirlocalarea,/privatelifeandcommunity/influencingdecisions/1,How much influence people feel they have on decisions affecting their local area,T4,,,,,,,,,
How often people chat to their neighbours,Neighbourhood_t3,/privatelifeandcommunity/neighbourhood/1/howoftenpeoplechattotheirneighbours,/privatelifeandcommunity/neighbourhood/1,How often people chat to their neighbours,T4,,,,,,,,,
Participation in civic activism,Civic activism_t3,/privatelifeandcommunity/civicactivism/1/participationincivicactivism,/privatelifeandcommunity/civicactivism/1,Participation in civic activism,T4,,,,,,,,,
People who volunteer,Volunteering_t3,/privatelifeandcommunity/volunteering/1/peoplewhovolunteer,/privatelifeandcommunity/volunteering/1,People who volunteer,T4,,,,,,,,,
People's involvement in social action in their local area,Social Action_t3,/privatelifeandcommunity/socialaction/1/peoplesinvolvementinsocialactionintheirlocalarea,/privatelifeandcommunity/socialaction/1,People's involvement in social action in their local area,T4,,,,,,,,,
Local involvement for neighbourhood improvements,Neighbourhood action_t3,/privatelifeandcommunity/neighbourhoodaction/1/localinvolvementforneighbourhoodimprovements,/privatelifeandcommunity/neighbourhoodaction/1,Local involvement for neighbourhood improvements,T4,,,,,,,,,
General life satisfaction,Life satisfaction_t3,/privatelifeandcommunity/lifesatisfaction/1/generallifesatisfaction,/privatelifeandcommunity/lifesatisfaction/1,General life satisfaction,T4,,,,,,,,,
General satisfaction with their local area,Life Satisfaction_t3,/privatelifeandcommunity/lifesatisfaction/1/generalsatisfactionwiththeirlocalarea,/privatelifeandcommunity/lifesatisfaction/1,General satisfaction with their local area,T4,,,,,,,,,
How worthwhile people feel their actions are,Life satisfaction_t3,/privatelifeandcommunity/lifesatisfaction/1/howworthwhilepeoplefeeltheiractionsare,/privatelifeandcommunity/lifesatisfaction/1,How worthwhile people feel their actions are,T4,,,,,,,,,
People who feel lonely,Life satisfaction_t3,/privatelifeandcommunity/lifesatisfaction/1/peoplewhofeellonely,/privatelifeandcommunity/lifesatisfaction/1,People who feel lonely,T4,,,,,,,,,
People feeling their local area is getting better,Life satisfaction_t3,/privatelifeandcommunity/lifesatisfaction/1/peoplefeelingtheirlocalareaisgettingbetter,/privatelifeandcommunity/lifesatisfaction/1,People feeling their local area is getting better,T4,,,,,,,,,
Physical inactivity (less than 30 minutes of exercise per week),Exercise & Activity_t3,/health/exerciseactivity/1/physicalinactivitylessthan30minutesofexerciseperweek,/health/exerciseactivity/1,Physical inactivity (less than 30 minutes of exercise per week),T4,,,,,,,,,
Physical inactivity (less than 150 minutes of exercise per week),Exercise & Activity_t3,/health/exerciseactivity/1/physicalinactivitylessthan150minutesofexerciseperweek,/health/exerciseactivity/1,Physical inactivity (less than 150 minutes of exercise per week),T4,,,,,,,,,
Overweight children aged 4 to 5,Physical and mental health_t3,/health/physicalandmentalhealth/1/overweightchildrenaged4to5,/health/physicalandmentalhealth/1,Overweight children aged 4 to 5,T4,,,,,,,,,
Overweight children aged 10 to 11,Physical and mental health_t3,/health/physicalandmentalhealth/1/overweightchildrenaged10to11,/health/physicalandmentalhealth/1,Overweight children aged 10 to 11,T4,,,,,,,,,
Young smokers under 16 years old,Preventing illness_t3,/health/preventingillness/1/youngsmokersunder16yearsold,/health/preventingillness/1,Young smokers under 16 years old,T4,,,,,,,,,
Tooth decay in young children (age 5),Physical and mental health_t3,/health/physicalandmentalhealth/1/toothdecayinyoungchildrenage5,/health/physicalandmentalhealth/1,Tooth decay in young children (age 5),T4,,,,,,,,,
"Healthy eating of ""5-a-day"" amongst 15 year olds",Preventing illness_t3,/health/preventingillness/1/healthyeatingof5adayamongst15yearolds,/health/preventingillness/1,"Healthy eating of ""5-a-day"" amongst 15 year olds",T4,,,,,,,,,
Amount of fruit eaten daily by 15 year olds,Preventing illness_t3,/health/preventingillness/1/amountoffruiteatendailyby15yearolds,/health/preventingillness/1,Amount of fruit eaten daily by 15 year olds,T4,,,,,,,,,
Amount of vegetables eaten daily by 15 year olds,Preventing illness_t3,/health/preventingillness/1/amountofvegetableseatendailyby15yearolds,/health/preventingillness/1,Amount of vegetables eaten daily by 15 year olds,T4,,,,,,,,,
Overweight adults in the UK,Physical and mental health_t3,/health/physicalandmentalhealth/1/overweightadultsintheuk,/health/physicalandmentalhealth/1,Overweight adults in the UK,T4,,,,,,,,,
Physically active adults,Preventing illness_t3,/health/preventingillness/1/physicallyactiveadults,/health/preventingillness/1,Physically active adults,T4,,,,,,,,,
Physically inactive adults,Preventing illness_t3,/health/preventingillness/1/physicallyinactiveadults,/health/preventingillness/1,Physically inactive adults,T4,,,,,,,,,
Adult smokers in the UK,Preventing illness_t3,/health/preventingillness/1/adultsmokersintheuk,/health/preventingillness/1,Adult smokers in the UK,T4,,,,,,,,,
Adult smokers who have routine and manual jobs,Preventing illness_t3,/health/preventingillness/1/adultsmokerswhohaveroutineandmanualjobs,/health/preventingillness/1,Adult smokers who have routine and manual jobs,T4,,,,,,,,,
"Healthy eating of ""5-a-day"" amongst adults",Preventing illness_t3,/health/preventingillness/1/healthyeatingof5adayamongstadults,/health/preventingillness/1,"Healthy eating of ""5-a-day"" amongst adults",T4,,,,,,,,,
Amount of fruit eaten daily by adults,Preventing illness_t3,/health/preventingillness/1/amountoffruiteatendailybyadults,/health/preventingillness/1,Amount of fruit eaten daily by adults,T4,,,,,,,,,
Amount of vegetables eaten daily by adults,Preventing illness_t3,/health/preventingillness/1/amountofvegetableseatendailybyadults,/health/preventingillness/1,Amount of vegetables eaten daily by adults,T4,,,,,,,,,
Cancer diagnosed at early stage,Patient outcomes_t3,/health/patientoutcomes/1/cancerdiagnosedatearlystage,/health/patientoutcomes/1,Cancer diagnosed at early stage,T4,,,,,,,,,
HIV late diagnosis,Patient outcomes_t3,/health/patientoutcomes/1/hivlatediagnosis,/health/patientoutcomes/1,HIV late diagnosis,T4,,,,,,,,,
Harmful drinking,Preventing illness_t3,/health/preventingillness/1/harmfuldrinking,/health/preventingillness/1,Harmful drinking,T4,,,,,,,,,
Illicit drug use,Preventing illness_t3,/health/preventingillness/1/illicitdruguse,/health/preventingillness/1,Illicit drug use,T4,,,,,,,,,
Common Mental Disorder Prevalence,Physical and mental health_t3,/health/physicalandmentalhealth/1/commonmentaldisorderprevalence,/health/physicalandmentalhealth/1,Common Mental Disorder Prevalence,T4,,,,,,,,,
Treatment for mental or emotional problem,Access to treatment_t3,/health/accesstotreatment/1/treatmentformentaloremotionalproblem,/health/accesstotreatment/1,Treatment for mental or emotional problem,T4,,,,,,,,,
Screen for probable post-traumatic stress disorder (PTSD),Access to treatment_t3,/health/accesstotreatment/1/screenforprobableposttraumaticstressdisorderptsd,/health/accesstotreatment/1,Screen for probable post-traumatic stress disorder (PTSD),T4,,,,,,,,,
Psychotic Disorder,Physical and mental health_t3,/health/physicalandmentalhealth/1/psychoticdisorder,/health/physicalandmentalhealth/1,Psychotic Disorder,T4,,,,,,,,,
Screen positive for personality disorder,Physical and mental health_t3,/health/physicalandmentalhealth/1/screenpositiveforpersonalitydisorder,/health/physicalandmentalhealth/1,Screen positive for personality disorder,T4,,,,,,,,,
Screen positive for ADHD,Physical and mental health_t3,/health/physicalandmentalhealth/1/screenpositiveforadhd,/health/physicalandmentalhealth/1,Screen positive for ADHD,T4,,,,,,,,,
Screen positive for Bipolar,Physical and mental health_t3,/health/physicalandmentalhealth/1/screenpositiveforbipolar,/health/physicalandmentalhealth/1,Screen positive for Bipolar,T4,,,,,,,,,
Suicidal thoughts and self harm,Physical and mental health_t3,/health/physicalandmentalhealth/1/suicidalthoughtsandselfharm,/health/physicalandmentalhealth/1,Suicidal thoughts and self harm,T4,,,,,,,,,
Drug depedency,Physical and mental health_t3,/health/physicalandmentalhealth/1/drugdepedency,/health/physicalandmentalhealth/1,Drug depedency,T4,,,,,,,,,
Access to GP services,Access to treatment_t3,/health/accesstotreatment/1/accesstogpservices,/health/accesstotreatment/1,Access to GP services,T4,,,,,,,,,
Access to NHS dental services,Access to treatment_t3,/health/accesstotreatment/1/accesstonhsdentalservices,/health/accesstotreatment/1,Access to NHS dental services,T4,,,,,,,,,
Waiting times in A&E,Access to treatment_t3,/health/accesstotreatment/1/waitingtimesinae,/health/accesstotreatment/1,Waiting times in A&E,T4,,,,,,,,,
Elective/non-elective treatment rates,Patient outcomes_t3,/health/patientoutcomes/1/electivenonelectivetreatmentrates,/health/patientoutcomes/1,Elective/non-elective treatment rates,T4,,,,,,,,,
Waiting times for IAPT at 6 and 18 weeks,Access to treatment_t3,/health/accesstotreatment/1/waitingtimesforiaptat6and18weeks,/health/accesstotreatment/1,Waiting times for IAPT at 6 and 18 weeks,T4,,,,,,,,,
